Sprint,Periode,Task / Fitur,Role,PIC,Durasi (Hari),Dependencies,S1 (07-18 Sep),S2 (21 Sep-02 Okt),S3 (05-16 Okt),S4 (19-30 Okt),S5 (02-13 Nov),S6 (16-27 Nov),S7 (30 Nov-11 Des),S8 (14-25 Des),S9 (04-15 Jan)
Sprint 3,05/10/2026 - 16/10/2026,API Paket Bundling Produk & Tagihan Durasi Waktu Meja,Backend,PL,10,-,,,BE 2,,,,,,
Sprint 3,05/10/2026 - 16/10/2026,UI Denah Peta Meja & Alur Pembayaran Tagihan Terbuka,Frontend,PL,10,UI/UX 1 & BE 1,,,FE 1,,,,,,
Sprint 3,05/10/2026 - 16/10/2026,UI Pemilihan Paket Meja & Penghitung Durasi Waktu Otomatis,Frontend,PL,10,UI/UX 1 & BE 2,,,FE 2,,,,,,
Sprint 3,05/10/2026 - 16/10/2026,Pengujian Konkurensi Meja & Alur Tagihan Bertahap,QA,QA 1,10,Sprint 3 Dev,,,QA 1,,,,,,
Sprint 4,19/10/2026 - 30/10/2026,Desain Struktur Inventori Bahan Baku (BOM) & Pembuat Resep,UI/UX,PL,10,-,,,,UI/UX 1,,,,,
Sprint 4,19/10/2026 - 30/10/2026,API Buku Kas Poin Anggota & Mesin Penukaran Poin,Backend,PL,10,-,,,,BE 1,,,,,
Sprint 4,19/10/2026 - 30/10/2026,API Sinkronisasi Layar Pelanggan (WebSocket) & Banner Iklan,Backend,PL,10,-,,,,BE 2,,,,,
Sprint 4,19/10/2026 - 30/10/2026,UI Program Loyalitas Anggota & Penukaran Poin di Kasir,Frontend,PL,10,BE 1,,,,FE 1,,,,,
Sprint 4,19/10/2026 - 30/10/2026,UI Layar Pelanggan (Sinkronisasi Keranjang & QRIS Real-time),Frontend,PL,10,BE 2,,,,FE 2,,,,,
Sprint 4,19/10/2026 - 30/10/2026,Pengujian Buku Kas Poin & Kecepatan Sinkronisasi Layar,QA,QA 1,10,Sprint 4 Dev,,,,QA 1,,,,,
Sprint 5,02/11/2026 - 13/11/2026,Desain Alur Pembayaran EDC BRI & Pengaturan Perangkat Keras,UI/UX,PL,10,-,,,,,UI/UX 1,,,,
Sprint 5,02/11/2026 - 13/11/2026,Skema BOM & API Pemotongan Otomatis Stok Bahan Baku,Backend,PL,10,-,,,,,BE 1,,,,
Sprint 5,02/11/2026 - 13/11/2026,Mesin Pengembalian Stok (Batal/Refund) & Peringatan Stok Menipis,Backend,PL,10,-,,,,,BE 2,,,,
Sprint 5,02/11/2026 - 13/11/2026,UI Pembuat Resep (1 Produk Jadi = N Bahan Baku),Frontend,PL,10,BE 1,,,,,FE 1,,,,
Sprint 5,02/11/2026 - 13/11/2026,UI Pemantauan Pemotongan Stok & Notifikasi Stok Habis,Frontend,PL,10,BE 2,,,,,FE 2,,,,
Sprint 5,02/11/2026 - 13/11/2026,Pengujian Pemotongan Stok Bahan Baku & Rollback saat Void,QA,QA 1,10,Sprint 5 Dev,,,,,QA 1,,,,
Sprint 6,16/11/2026 - 27/11/2026,Desain Pemetaan Menu GrabFood & Bilah Status Toko,UI/UX,PL,10,-,,,,,,UI/UX 1,,,
Sprint 6,16/11/2026 - 27/11/2026,API Push EDC BRI & Jembatan Protokol Komunikasi Serial,Backend,PL,10,-,,,,,,BE 1,,,
Sprint 6,16/11/2026 - 27/11/2026,API Rekonsiliasi Pembayaran EDC & Penanganan Webhook Settlement,Backend,PL,10,-,,,,,,BE 2,,,
Sprint 6,16/11/2026 - 27/11/2026,UI Dialog Pembayaran EDC & Pemantau Status Transaksi,Frontend,PL,10,BE 1,,,,,,FE 1,,,
Sprint 6,16/11/2026 - 27/11/2026,UI Pengaturan & Alat Diagnostik Perangkat Keras EDC,Frontend,PL,10,BE 2,,,,,,FE 2,,,
Sprint 6,16/11/2026 - 27/11/2026,Pengujian Batas Waktu Pembayaran EDC & Mekanisme Coba Ulang,QA,QA 1,10,Sprint 6 Dev,,,,,,QA 1,,,
Sprint 7,30/11/2026 - 11/12/2026,Desain Pesanan Masuk GrabFood & Peringatan Audio Dapur,UI/UX,PL,10,-,,,,,,,UI/UX 1,,
Sprint 7,30/11/2026 - 11/12/2026,API Mitra GrabFood OAuth2 & Sinkronisasi Status Buka/Tutup Toko,Backend,PL,10,-,,,,,,,BE 1,,
Sprint 7,30/11/2026 - 11/12/2026,Mesin Sinkronisasi Menu GrabFood & Opsi Tambahan (Modifier),Backend,PL,10,-,,,,,,,BE 2,,
Sprint 7,30/11/2026 - 11/12/2026,UI Pemetaan Menu POS dengan Katalog Menu GrabFood,Frontend,PL,10,BE 2,,,,,,,FE 1,,
Sprint 7,30/11/2026 - 11/12/2026,UI Tombol Cepat Status Buka/Tutup Restoran GrabFood,Frontend,PL,10,BE 1,,,,,,,FE 2,,
Sprint 7,30/11/2026 - 11/12/2026,"Pengujian Sinkronisasi Menu, Struktur Modifier & Batas API",QA,QA 1,10,Sprint 7 Dev,,,,,,,QA 1,,
Sprint 8,14/12/2026 - 25/12/2026,Perapian Aset Desain UI/UX & Dokumentasi Rilis,UI/UX,PL,10,-,,,,,,,,UI/UX 1,
Sprint 8,14/12/2026 - 25/12/2026,Penanganan Webhook Pesanan Masuk & Pelacakan Status GrabFood,Backend,PL,10,-,,,,,,,,BE 1,
Sprint 8,14/12/2026 - 25/12/2026,Aturan Terima Pesanan Otomatis & Pemotongan Stok Bahan Baku Online,Backend,PL,10,BE 1,,,,,,,,BE 2,
Sprint 8,14/12/2026 - 25/12/2026,UI Notifikasi Pesanan Masuk Real-time & Peringatan Suara,Frontend,PL,10,BE 1,,,,,,,,FE 1,
Sprint 8,14/12/2026 - 25/12/2026,UI Daftar Antrean Pesanan GrabFood & Cetak Otomatis Tiket Dapur,Frontend,PL,10,BE 2,,,,,,,,FE 2,
Sprint 8,14/12/2026 - 25/12/2026,Pengujian Webhook Beban Tinggi & Perutean Cetak Dapur,QA,QA 1,10,Sprint 8 Dev,,,,,,,,QA 1,
Sprint 9,04/01/2027 - 15/01/2027,Penyempurnaan Desain UI/UX & Evaluasi Mikro-interaksi,UI/UX,PL,10,-,,,,,,,,,UI/UX 1
Sprint 9,04/01/2027 - 15/01/2027,"Perbaikan Bug Backend, Pengindeksan DB & Optimasi Kueri",Backend,PL,10,All Prev Sprints,,,,,,,,,BE 1 & BE 2
Sprint 9,04/01/2027 - 15/01/2027,Perbaikan Bug Antarmuka & Optimasi Ukuran Berkas Frontend,Frontend,PL,10,All Prev Sprints,,,,,,,,,FE 1 & FE 2
Sprint 9,04/01/2027 - 15/01/2027,Pengujian Regresi Menyeluruh (End-to-End) & Persetujuan UAT,QA,QA 1,10,All Prev Sprints,,,,,,,,,QA 1
